Type,Beam_Name,Mass Per metre,Depth of section,Width of section,Thickness Web,Thickness Flange,Root radius,Depth between fillets,Ratios for Local Buckling Flange,Ratios for Local Buckling Web,Second Moment of Area y-y,Second Moment of Area z-z,Radius of Gyration y-y,Radius of Gyration z-z,Elastic Modulus y-y,Elastic Modulus z-z,Plastic Modulus y-y,Plastic Modulus z-z,Buckling Parameter,Torsional Index,Warping Constant,Torsional Constant,Area of section
RHS,60  x  40  x 5,6.85,60,40,5,5,,,,,38.1,19.5,,,,,16.4,12.2,,,,,
RHS,60  x  40 x 6.3,8.31,60,40,6.3,6.3,,,,,43.4,21.9,,,,,19.2,14.2,,,,,
RHS,60  x  40 x 8,10,60,40,8,8,,,,,47.9,23.7,,,,,22.1,16.1,,,,,
RHS,80  x  40 x 3.2,5.62,80,40,3.2,3.2,,,,,57.2,18.9,,,,,18,11,,,,,
RHS,80  x  40 x 3.6,6.27,80,40,3.6,3.6,,,,,62.8,20.6,,,,,20,12.1,,,,,
RHS,80  x  40 x 4,6.9,80,40,4,4,,,,,68.2,22.2,,,,,21.8,13.2,,,,,
RHS,80  x  40 x 5,8.42,80,40,5,5,,,,,80.3,25.7,,,,,26.1,15.7,,,,,
RHS,80  x  40 x 6.3,10.3,80,40,6.3,6.3,,,,,93.3,29.2,,,,,31.1,18.4,,,,,
RHS,80  x  40 x 8,12.5,80,40,8,8,,,,,106,32.1,,,,,36.5,21.2,,,,,
RHS,90  x  50 x 3.2,6.63,90,50,3.2,3.2,,,,,89.1,35.3,,,,,24.6,16.2,,,,,
RHS,90  x  50 x 3.6,7.4,90,50,3.6,3.6,,,,,98.3,38.7,,,,,27.2,18,,,,,
RHS,90  x  50 x 4,8.15,90,50,4,4,,,,,107,41.9,,,,,29.8,19.6,,,,,
RHS,90  x  50 x 5,9.99,90,50,5,5,,,,,127,49.2,,,,,36,23.5,,,,,
RHS,90  x  50 x 6.3,12.3,90,50,6.3,6.3,,,,,150,57,,,,,43.2,28,,,,,
RHS,90  x  50 x 8,15,90,50,8,8,,,,,174,64.6,,,,,51.4,32.9,,,,,
RHS,90  x  50 x 10,18,90,50,10,10,,,,,194,70.2,,,,,59.3,37.4,,,,,
RHS,100  x  50 x 3.2,7.13,100,50,3.2,3.2,,,,,116,38.8,,,,,28.9,17.7,,,,,
RHS,100  x  50 x 3.6,7.96,100,50,3.6,3.6,,,,,128,42.6,,,,,32.1,19.6,,,,,
RHS,100  x  50 x 4,8.78,100,50,4,4,,,,,140,46.2,,,,,35.2,21.5,,,,,
RHS,100  x  50 x 5,10.8,100,50,5,5,,,,,167,54.3,,,,,42.6,25.8,,,,,
RHS,100  x  50  x 6.3,13.3,100,50,6.3,6.3,,,,,197,63,,,,,51.3,30.8,,,,,
RHS,100  x  50 x 8,16.3,100,50,8,8,,,,,230,71.7,,,,,61.4,36.3,,,,,
RHS,100  x  50 x 10,19.6,100,50,10,10,,,,,259,78.4,,,,,71.2,41.4,,,,,
RHS,100  x  60 x 3.2,7.63,100,60,3.2,3.2,,,,,131,58.8,,,,,32,22.4,,,,,
RHS,100  x  60 x 3.6,8.53,100,60,3.6,3.6,,,,,145,64.8,,,,,35.6,24.9,,,,,
RHS,100  x  60 x 4,9.41,100,60,4,4,,,,,158,70.5,,,,,39.1,27.3,,,,,
RHS,100  x  60 x 5,11.6,100,60,5,5,,,,,189,83.6,,,,,47.4,32.9,,,,,
RHS,100  x  60 x 6.3,14.2,100,60,6.3,6.3,,,,,225,98.1,,,,,57.3,39.5,,,,,
RHS,100  x  60 x 8,17.5,100,60,8,8,,,,,264,113,,,,,68.7,47.1,,,,,
RHS,100  x  60 x 10,21.1,100,60,10,10,,,,,299,126,,,,,80.2,54.4,,,,,
RHS,120  x  60 x 3.6,9.66,120,60,3.6,3.6,,,,,227,76.3,,,,,47.2,28.9,,,,,
RHS,120  x  60 x 4,10.7,120,60,4,4,,,,,249,83.1,,,,,51.9,31.7,,,,,
RHS,120  x  60 x 5,13.1,120,60,5,5,,,,,299,98.8,,,,,63.1,38.4,,,,,
RHS,120  x  60 x 6.3,16.2,120,60,6.3,6.3,,,,,358,116,,,,,76.7,46.3,,,,,
RHS,120  x  60 x 8,20.1,120,60,8,8,,,,,425,135,,,,,92.7,55.4,,,,,
RHS,120  x  60 x 10,24.3,120,60,10,10,,,,,488,152,,,,,109,64.4,,,,,
RHS,120  x  80 x 3.6,10.8,120,80,3.6,3.6,,,,,276,147,,,,,55.6,42,,,,,
RHS,120  x  80 x 4,11.9,120,80,4,4,,,,,303,161,,,,,61.2,46.1,,,,,
RHS,120  x  80 x 5,14.7,120,80,5,5,,,,,365,193,,,,,74.6,56.1,,,,,
RHS,120  x  80 x 6.3,18.2,120,80,6.3,6.3,,,,,440,230,,,,,91,68.2,,,,,
RHS,120  x  80 x 8,22.6,120,80,8,8,,,,,525,273,,,,,111,82.6,,,,,
RHS,120  x  80 x 10,27.4,120,80,10,10,,,,,609,313,,,,,131,97.3,,,,,
RHS,150  x  100 x 4,15.1,150,100,4,4,,,,,607,324,,,,,97.4,73.6,,,,,
RHS,150  x  100 x 5,18.6,150,100,5,5,,,,,739,392,,,,,119,90.1,,,,,
RHS,150  x  100 x 6.3,23.1,150,100,6.3,6.3,,,,,898,474,,,,,147,110,,,,,
RHS,150  x  100 x 8,28.9,150,100,8,8,,,,,1090,569,,,,,180,135,,,,,
RHS,150  x  100 x 10,35.3,150,100,10,10,,,,,1280,665,,,,,216,161,,,,,
RHS,150  x  100 x 12.5,42.8,150,100,12.5,12.5,,,,,1490,763,,,,,256,190,,,,,
RHS,160  x  80 x 4,14.4,160,80,4,4,,,,,612,207,,,,,94.7,58.3,,,,,
RHS,160  x  80 x 5,17.8,160,80,5,5,,,,,744,249,,,,,116,71.1,,,,,
RHS,160  x  80 x 6.3,22.2,160,80,6.3,6.3,,,,,903,299,,,,,142,86.8,,,,,
RHS,160  x  80 x 8,27.6,160,80,8,8,,,,,1090,356,,,,,175,106,,,,,
RHS,160  x  80 x 10,33.7,160,80,10,10,,,,,1280,411,,,,,209,125,,,,,
RHS,160  x  80 x 12.5,40.9,160,80,12.5,12.5,,,,,1480,465,,,,,247,146,,,,,
RHS,200  x  100 x 4,18.2,200,100,4,4,,,,,1220,416,,,,,150,92.8,,,,,
RHS,200  x  100 x 5,22.6,200,100,5,5,,,,,1500,505,,,,,185,114,,,,,
RHS,200  x  100 x 6.3,28.1,200,100,6.3,6.3,,,,,1830,613,,,,,228,140,,,,,
RHS,200  x  100 x 8,35.1,200,100,8,8,,,,,2230,739,,,,,282,172,,,,,
RHS,200  x  100 x 10,43.1,200,100,10,10,,,,,2660,869,,,,,341,206,,,,,
RHS,200  x  100 x 12.5,52.7,200,100,12.5,12.5,,,,,3140,1000,,,,,408,245,,,,,
RHS,200  x  100 x 14.2,58.9,200,100,14.2,14.2,,,,,3420,1080,,,,,450,268,,,,,
RHS,200  x  100 x 16,65.2,200,100,16,16,,,,,3680,1150,,,,,491,290,,,,,
